站点ID,记录中出现过的站名,bus_stops站名
BV09334662,坤和街口 / 坤和街口站,坤和街口
BV11688465,中山八路 / 中山八路站,中山八路
BV09074944,沙溪牌坊 / 沙溪牌坊站,沙溪牌坊
BV11412819,暹岗村口站 / 暹岗村口,暹岗村口站
BV11615375,水秀二路站 / 水秀二路,水秀二路站
BV11400771,帽峰山西站 / 帽峰山西,帽峰山西站
BV11629136,东沙桥底站 / 东沙桥底,东沙桥底站
BV11519159,华师附中 / 华师附中站,华师附中站
BV09244990,华景新城站 / 华景新城,华景新城
BV09241986,师大暨大站 / 师大暨大,师大暨大
BV11688561,师大暨大站 / 师大暨大,师大暨大
BV11693217,天朗明居 / 天朗明居站,天朗明居
BV09226130,花园酒店2 / 花园酒店,花园酒店2
BV11375026,四角围村 / 四角围村站,四角围村站
BV09176957,交警大队 / 交警大队站,交警大队
BV11452846,新开花谷 / 新开花谷站,新开花谷
BV11487753,鳌头广场 / 鳌头广场站,鳌头广场
BV11389707,江埔社区站 / 江埔社区,江埔社区站
BV10014786,水利学院 / 水利学院站,水利学院
BV11625936,七星路口 / 七星路口站,七星路口
BV11625941,灌村路口 / 灌村路口站,灌村路口
BV11480862,蓝田东路站 / 蓝田东路,蓝田东路
BV11268020,高步路口站 / 高步路口,高步路口
BV11480858,黄场二社站 / 黄场二社,黄场二社
BV11480863,民乐长岭站 / 民乐长岭,民乐长岭
BV11400676,中国电信 / 中国电信站,中国电信站
BV11400674,新城广场 / 新城广场站,新城广场站
BV11400673,府前路南 / 府前路南站,府前路南站
BV11474705,城西市场 / 城西市场站,城西市场站
BV11491340,从化监狱站 / 从化监狱,从化监狱
BV11151770,吕沙路口站 / 吕沙路口,吕沙路口站
BV09123702,共青路口 / 共青路口站,共青路口
BV11469892,井岗菜场 / 井岗菜场站,井岗菜场站
BV11457964,山下村委 / 山下村委站,山下村委站
BV11457963,高峰村委 / 高峰村委站,高峰村委站
BV11398013,宝溪村委站 / 宝溪村委,宝溪村委站
BV11688701,黄岐城区站 / 黄岐城区,黄岐城区
BV11688745,广佛路东站 / 广佛路东,广佛路东
BV09006180,广佛路口 / 广佛路口站,广佛路口
BV11371467,虎榜市场站 / 虎榜市场,虎榜市场站
BV09314049,河东路口站 / 河东路口,河东路口站
BV11371468,雅居蓝湾站 / 雅居蓝湾,雅居蓝湾站
BV11688731,嘉怡花园站 / 嘉怡花园,嘉怡花园
BV11689450,日发市场 / 日发市场站,日发市场
BV11175928,南海广场 / 南海广场站,南海广场
BV09308660,平西路口 / 平西路口站,平西路口
BV11681640,永安路西 / 永安路西站,永安路西
BV10798990,平洲宾馆 / 平洲宾馆站,平洲宾馆站
BV09205394,太平路口 / 太平路口站,太平路口站
BV11112348,平洲立交 / 平洲立交站,平洲立交站
BV11690535,康怡公园站 / 康怡公园,康怡公园
BV11175929,经委大厦站 / 经委大厦,经委大厦
BV11689449,盐步路口 / 盐步路口站,盐步路口
BV11689448,嘉洲广场 / 嘉洲广场站,嘉洲广场
BV11688740,宏威路口 / 宏威路口站,宏威路口
BV11371481,松岗公园 / 松岗公园站,松岗公园
BV11371485,嘉景华庭站 / 嘉景华庭,嘉景华庭
BV11688702,名雅花园 / 名雅花园站,名雅花园
BV11689901,虎榜路口 / 虎榜路口站,虎榜路口
BV11689902,盐步医院 / 盐步医院站,盐步医院
BV10251713,罗村医院站 / 罗村医院,罗村医院
BV11688741,北湖三路 / 北湖三路站,北湖三路
BV11688776,洲村市场 / 洲村市场站,洲村市场站
BV09108097,红星南路 / 红星南路站,红星南路
BV11689962,东软学院 / 东软学院站,东软学院站
BV10251761,石中路口 / 石中路口站,石中路口
BV11689900,盐步中学 / 盐步中学站,盐步中学站
BV11371482,塘联市场 / 塘联市场站,塘联市场
BV11371486,创业南路 / 创业南路站,创业南路
BV11371470,长盛路口 / 长盛路口站,长盛路口
BV11371479,长盛路北 / 长盛路北站,长盛路北
BV11371461,长盛路南 / 长盛路南站,长盛路南
BV11371483,石碣市场 / 石碣市场站,石碣市场
BV11688738,花苑广场 / 花苑广场站,花苑广场站
BV11633556,文登隧道站 / 文登隧道,文登隧道
BV10020029,坑头市场站 / 坑头市场,坑头市场
BV11171493,兴业路口 / 兴业路口站,兴业路口
BV09099105,珠江中学站 / 珠江中学,珠江中学
BV09077738,亭角大桥 / 亭角大桥站,亭角大桥站
BV11206063,南涌口村 / 南涌口村站,南涌口村站
BV09077734,留新路口 / 留新路口站,留新路口站
BV09371839,南英检测站 / 南英检测,南英检测站
BV10024029,龙穴村尾站 / 龙穴村尾,龙穴村尾站
BV11106814,大涌东路站 / 大涌东路,大涌东路
BV09347035,东涌医院站 / 东涌医院,东涌医院站
BV10736585,绿色长廊站 / 绿色长廊,绿色长廊站
BV11687850,牛角桥北 / 牛角桥北站,牛角桥北站
BV09009791,北斗渡口站 / 北斗渡口,北斗渡口站
BV09211336,星海小学站 / 星海小学,星海小学
BV10014969,顺河路口站 / 顺河路口,顺河路口站
BV09410324,榄核二中 / 榄核二中站,榄核二中
BV10014922,榄九路口 / 榄九路口站,榄九路口站
BV09302152,亿源机电站 / 亿源机电,亿源机电站
BV09302206,潭洲市场站 / 潭洲市场,潭洲市场
BV11399208,东涌公园站 / 东涌公园,东涌公园
BV10017141,黄阁中学站 / 黄阁中学,黄阁中学站
BV09071715,益丰街口站 / 益丰街口,益丰街口站
BV09277457,民生路北站 / 民生路北,民生路北站
BV11687919,凯德新玥站 / 凯德新玥,凯德新玥
BV11632506,留东村口 / 留东村口站,留东村口站
BV10015942,新同安桥站 / 新同安桥,新同安桥
BV10840063,市民广场站 / 市民广场,市民广场站
BV09099109,邮轮母港 / 邮轮母港站,邮轮母港站
BV11583740,滨海公园站 / 滨海公园,滨海公园站
BV11689912,雁洲路口 / 雁洲路口站,雁洲路口
BV09000363,沙墟市场站 / 沙墟市场,沙墟市场站
BV11687882,党校路口站 / 党校路口,党校路口
BV11667003,蚬涌路口 / 蚬涌路口站,蚬涌路口
BV09258709,蚬涌市场站 / 蚬涌市场,蚬涌市场
BV09347036,象圣中学站 / 象圣中学,象圣中学
BV09080934,三沙村口站 / 三沙村口,三沙村口
BV11664538,虎沙大道站 / 虎沙大道,虎沙大道站
BV09227219,兴发市场 / 兴发市场站,兴发市场
BV09325677,金地上城 / 金地上城站,金地上城
BV09221954,实验小学 / 实验小学站,实验小学
BV09396049,三联路口 / 三联路口站,三联路口
BV11413294,润悦花园 / 润悦花园站,润悦花园
BV09184474,江山时代 / 江山时代站,江山时代
BV11621188,香江悦府站 / 香江悦府,香江悦府站
BV09274992,仙村市场站 / 仙村市场,仙村市场
BV11198222,锦绣半山 / 锦绣半山站,锦绣半山
BV11689033,华商学院 / 华商学院站,华商学院站
BV09244922,锦绣香江 / 锦绣香江站,锦绣香江
BV09095471,东区市场 / 东区市场站,东区市场
BV09236547,新塘站东 / 新塘站东站,新塘站东
BV11689662,顺欣花园 / 顺欣花园站,顺欣花园
BV10959661,沙埔路口站 / 沙埔路口,沙埔路口站
BV11403666,交警大队 / 交警大队站,交警大队
BV11689664,亚太新城 / 亚太新城站,亚太新城
BV11367817,亨威公司 / 亨威公司站,亨威公司
BV09221614,珠江钢琴 / 珠江钢琴站,珠江钢琴
BV09206683,万田公园站 / 万田公园,万田公园
BV11690284,仙村路口 / 仙村路口站,仙村路口站
BV10387102,云山诗意站 / 云山诗意,云山诗意
BV11368662,千鹤街中站 / 千鹤街中,千鹤街中站
BV11589196,两龙南街 / 两龙南街站,两龙南街站
BV09194673,中山七路2 / 中山七路,中山七路2
BV09064296,金联市场站 / 金联市场,金联市场
BV09404941,新华中学站 / 新华中学,新华中学
BV11390860,横潭市场站 / 横潭市场,横潭市场
BV09002135,胡忠医院 / 胡忠医院站,胡忠医院站
BV09368663,福盛花园站 / 福盛花园,福盛花园
BV09269175,麻涌一中站 / 麻涌一中,麻涌一中
BV11495654,沿江路中站 / 沿江路中,沿江路中站
BV11690760,番禺宾馆 / 番禺宾馆站,番禺宾馆
BV11689917,交通大厦 / 交通大厦站,交通大厦站
BV11691292,沙湾南村 / 沙湾南村站,沙湾南村站
BV09244918,东区市场 / 东区市场站,东区市场站
BV11691294,荷景花园 / 荷景花园站,荷景花园站
BV11688132,南双玉村 / 南双玉村站,南双玉村
BV11688142,农校职中 / 农校职中站,农校职中站
BV09078538,绿庭雅苑 / 绿庭雅苑站,绿庭雅苑
BV11688161,汇景大道 / 汇景大道站,汇景大道
BV09316435,清河中路 / 清河中路站,清河中路
BV10020167,中保人寿 / 中保人寿站,中保人寿
BV10020166,东方花园 / 东方花园站,东方花园
BV10020165,德宝花园 / 德宝花园站,德宝花园
BV09201090,石北中学 / 石北中学站,石北中学
BV11630305,天峰二区 / 天峰二区站,天峰二区
BV10633547,滨江绿园 / 滨江绿园站,滨江绿园
BV11376454,番禺中学 / 番禺中学站,番禺中学
BV09316437,陈涌市场 / 陈涌市场站,陈涌市场
BV11467024,映日路中 / 映日路中站,映日路中
BV11688049,黄冈小学 / 黄冈小学站,黄冈小学
BV11688074,三东小学 / 三东小学站,三东小学
BV11614564,曙光路北 / 曙光路北站,曙光路北站
BV11401642,雅瑶小学 / 雅瑶小学站,雅瑶小学
BV09398489,雅瑶中学 / 雅瑶中学站,雅瑶中学站
BV10014221,培新中学 / 培新中学站,培新中学
BV09001427,红珠路口 / 红珠路口站,红珠路口
BV10014223,横潭牌坊 / 横潭牌坊站,横潭牌坊
BV09001446,横潭路口 / 横潭路口站,横潭路口
BV11688157,大运公寓 / 大运公寓站,大运公寓
BV11317193,大运公司 / 大运公司站,大运公司站
BV11375030,毕村西桥 / 毕村西桥站,毕村西桥
BV11246406,飞旋公司 / 飞旋公司站,飞旋公司站
BV09396048,赤坭小学 / 赤坭小学站,赤坭小学
BV11375046,赤坭医院 / 赤坭医院站,赤坭医院
BV11412279,平岭头村 / 平岭头村站,平岭头村
BV11688984,三东东布 / 三东东布站,三东东布站
BV11086035,大运家园 / 大运家园站,大运家园
BV09059895,武警医院 / 武警医院站,武警医院站
BV09088076,东风中路 / 东风中路站,东风中路
BV09307813,圆玄道观 / 圆玄道观站,圆玄道观
BV09006098,花卉世界 / 花卉世界站,花卉世界
BV09002100,宝峰路口 / 宝峰路口站,宝峰路口站
BV11689391,永兴市场 / 永兴市场站,永兴市场
BV11688983,盘古中路 / 盘古中路站,盘古中路
BV10776830,炭步市场站 / 炭步市场,炭步市场
BV09404844,岭东中路 / 岭东中路站,岭东中路站
BV09407006,凯旋国际 / 凯旋国际站,凯旋国际站
BV11688980,振兴小学 / 振兴小学站,振兴小学
BV11688981,盘古北路 / 盘古北路站,盘古北路
BV09078881,荔红中路站 / 荔红中路,荔红中路
BV11614568,岐山村口站 / 岐山村口,岐山村口
BV11411336,果岭18站 / 果岭18,果岭18
BV11406988,蓝珠一社站 / 蓝珠一社,蓝珠一社
BV11346055,芙蓉花园站 / 芙蓉花园,芙蓉花园
BV11669775,缠岗牌坊 / 缠岗牌坊站,缠岗牌坊
BV11375034,三坑水库 / 三坑水库站,三坑水库
BV11407234,蓝珠二社站 / 蓝珠二社,蓝珠二社站
BV11688116,郭塘货场站 / 郭塘货场,郭塘货场站
BV11364431,钻石花园 / 钻石花园站,钻石花园
BV09322922,马岭路口站 / 马岭路口,马岭路口
BV11497167,四联路口站 / 四联路口,四联路口
BV09139066,金谷路口站 / 金谷路口,金谷路口
BV11367778,中心大道站 / 中心大道,中心大道站
BV09394525,桂花岗 / 桂花岗站2,桂花岗站2
BV09406832,云城南 / 云城南站1,云城南站1
BV09373815,梓元岗站 / 梓元岗3,梓元岗3
BV09324145,凌塘村站2 / 凌塘村,凌塘村站2
BV11596289,山马塘2 / 山马塘1,山马塘1
BV09357063,仓边路2 / 仓边路,仓边路2
BV09005236,梅园西 / 梅园西站,梅园西
BV11688404,大南路 / 大南路站,大南路站
BV11688564,赤岗塔站 / 赤岗塔,赤岗塔
BV10832642,浣花路站 / 浣花路,浣花路
BV10832643,东漖街 / 东漖街站,东漖街
BV11688509,南田路 / 南田路站,南田路
BV11688525,紫荆道 / 紫荆道站,紫荆道
BV09364266,鹤洞东 / 鹤洞东站,鹤洞东
BV11688558,洛涛居站 / 洛涛居,洛涛居站
BV11688560,如意路站 / 如意路,如意路站
BV09005254,上涌南 / 上涌南站,上涌南
BV11091393,迎宾馆 / 迎宾馆站,迎宾馆
BV11688565,惠福路 / 惠福路站,惠福路
BV11480694,惠福西 / 惠福西站,惠福西
BV11688484,石路基 / 石路基站,石路基
BV10015194,新园路站 / 新园路,新园路
BV11688477,大沙头 / 大沙头站,大沙头
BV09246905,越秀桥2 / 越秀桥,越秀桥2
BV11688482,文德路 / 文德路站,文德路
BV11688476,白云路 / 白云路站,白云路
BV09161363,元下田 / 元下田2,元下田2
BV11687852,元下田 / 元下田站,元下田
BV11688518,文德南 / 文德南站,文德南
BV10016161,坦尾路站 / 坦尾路,坦尾路站
BV09195327,陈家祠2 / 陈家祠,陈家祠2
BV10023122,星河湾站 / 星河湾,星河湾
BV11689291,沙溪村站 / 沙溪村,沙溪村
BV11688514,晓港湾站 / 晓港湾,晓港湾
BV11688511,五凤乡站 / 五凤乡,五凤乡
BV10021130,云桂村站 / 云桂村,云桂村
BV11688478,农林东站 / 农林东,农林东
BV10016241,梅花村站 / 梅花村,梅花村
BV09006178,龙口东 / 龙口东站,龙口东
BV11689170,龙口西 / 龙口西站,龙口西
BV11312280,二沙西 / 二沙西站,二沙西
BV09408345,二沙东 / 二沙东站,二沙东
BV09230293,彩虹桥1 / 彩虹桥,彩虹桥1
BV11688510,越秀桥 / 越秀桥站,越秀桥
BV11688387,鹅掌坦 / 鹅掌坦站,鹅掌坦
BV11688411,同德乡 / 同德乡站,同德乡
BV11688399,上步村 / 上步村站,上步村
BV11589193,军体院 / 军体院站,军体院
BV09256767,石牌村 / 石牌村2,石牌村2
BV11688554,程界村 / 程界村站,程界村
BV09112241,琶洲塔 / 琶洲塔站,琶洲塔
BV09244075,琶洲村 / 琶洲村站,琶洲村站
BV10420826,万胜围 / 万胜围站,万胜围站
BV10021305,杨青村 / 杨青村站,杨青村
BV09005977,黄埔村 / 黄埔村站,黄埔村
BV09413159,程界村 / 程界村1,程界村1
BV09306449,天寿路 / 天寿路1,天寿路1
BV11431965,天河南1 / 天河南,天河南1
BV11688551,天寿路 / 天寿路站,天寿路
BV09317206,怡乐村 / 怡乐村1,怡乐村1
BV11688340,龙潭村 / 龙潭村站,龙潭村站
BV11688348,康乐村 / 康乐村站,康乐村
BV11687959,怡乐村 / 怡乐村站,怡乐村
BV09162065,荔湾路2 / 荔湾路,荔湾路2
BV10018663,宝华路 / 宝华路站,宝华路
BV11629134,金沙路 / 金沙路站,金沙路
BV09348431,黄花岗1 / 黄花岗,黄花岗1
BV11309872,东山口 / 东山口站,东山口
BV09355217,同德围站 / 同德围,同德围
BV09355218,德康路站 / 德康路,德康路
BV10713654,云霄路站 / 云霄路,云霄路站
BV11688390,金贵村 / 金贵村站,金贵村
BV11472525,省妇幼 / 省妇幼站,省妇幼
BV11472520,王圣堂 / 王圣堂站,王圣堂站
BV11088401,景泰坑 / 景泰坑站,景泰坑
BV09355216,梅花园 / 梅花园站,梅花园
BV09269673,西湾路 / 西湾路1,西湾路1
BV09006129,南岸路 / 南岸路站,南岸路
BV09242705,华林寺 / 华林寺站,华林寺
BV11689530,三滘村 / 三滘村站,三滘村
BV11091396,盘福路 / 盘福路站,盘福路
BV10800475,白鹤洞 / 白鹤洞站,白鹤洞站
BV09364515,梓元岗 / 梓元岗站,梓元岗站
BV11688409,万福路 / 万福路站,万福路
BV11688405,万福东 / 万福东站,万福东
BV09364484,逸景路 / 逸景路站,逸景路站
BV11316646,五羊邨 / 五羊邨站,五羊邨
BV09172267,农林东 / 农林东2,农林东2
BV11688487,三角市 / 三角市站,三角市
BV09002689,三元里 / 三元里站,三元里
BV09239569,电视塔 / 电视塔站,电视塔
BV09200956,洪德路 / 洪德路1,洪德路1
BV09222640,南田西 / 南田西2,南田西2
BV09217836,童心南 / 童心南站,童心南
BV09304041,景泰坑2 / 景泰坑,景泰坑2
BV11688573,麓景路 / 麓景路站,麓景路
BV11688535,柯子岭 / 柯子岭站,柯子岭
BV09340465,动物园 / 动物园1,动物园1
BV11688438,石围塘 / 石围塘站,石围塘
BV09256766,石牌村1 / 石牌村,石牌村1
BV09006407,永福路 / 永福路站,永福路站
BV11251690,沙尾桥站 / 沙尾桥,沙尾桥
BV11688134,学府路站 / 学府路,学府路
BV09201207,农讲所 / 农讲所1,农讲所1
BV11688472,杨箕村 / 杨箕村站,杨箕村
BV11485000,华工大 / 华工大站,华工大
BV11689859,农科院 / 农科院站,农科院
BV10714255,林乐路站 / 林乐路,林乐路
BV10714257,小迳村站 / 小迳村,小迳村站
BV11688080,新好景站 / 新好景,新好景
BV11687861,丹水坑站 / 丹水坑,丹水坑
BV09005648,吉祥路 / 吉祥路站,吉祥路
BV11688433,公园前 / 公园前站,公园前
BV09069507,乐意居 / 乐意居站,乐意居
BV09243513,员村东 / 员村东站,员村东
BV10014565,车陂南 / 车陂南站,车陂南
BV11098341,均和东 / 均和东站,均和东站
BV09242701,均和墟 / 均和墟站,均和墟站
BV11688455,白沙湖 / 白沙湖站,白沙湖
BV09163011,陈田村1 / 陈田村,陈田村1
BV09226125,电视塔2 / 电视塔,电视塔2
BV11620525,磨碟沙 / 磨碟沙站,磨碟沙
BV11329135,下芳村 / 下芳村1,下芳村1
BV10014073,站南路站 / 站南路,站南路
BV09000494,西湾路 / 西湾路站,西湾路
BV11370357,盈丰路 / 盈丰路站,盈丰路
BV09163012,陈田村 / 陈田村2,陈田村2
BV11481129,黄石东 / 黄石东站,黄石东
BV11400772,米龙村 / 米龙村站,米龙村
BV11477575,桂花岗 / 桂花岗1,桂花岗1
BV09404762,新市墟 / 新市墟3,新市墟4
BV09226088,市交校 / 市交校1,市交校1
BV10021835,小洲村 / 小洲村站,小洲村
BV11687892,银河园 / 银河园站,银河园
BV11687888,上元岗 / 上元岗站,上元岗
BV10017705,天河南 / 天河南站,天河南
BV11688397,远景路 / 远景路站,远景路
BV09226082,云城南 / 云城南1,云城南1
BV11106523,程界西 / 程界西站,程界西站
BV11312286,东湖路 / 东湖路站,东湖路
BV11689853,科韵路 / 科韵路站,科韵路
BV11688503,恒福路 / 恒福路站,恒福路站
BV09379844,流花路 / 流花路站,流花路
BV11690807,东秀园 / 东秀园站,东秀园站
BV11689845,丹山桥 / 丹山桥站,丹山桥站
BV09000378,大北路站 / 大北路,大北路
BV10014324,陈边村 / 陈边村站,陈边村
BV10014325,利口福 / 利口福站,利口福
BV10014329,板桥东 / 板桥东站,板桥东
BV09310406,天寿路 / 天寿路2,天寿路2
BV09143620,云星村 / 云星村站,云星村
BV09374430,龙美村 / 龙美村站,龙美村
BV11688082,里仁洞 / 里仁洞站,里仁洞
BV11317287,革新路站 / 革新路,革新路站
BV11687904,射击场 / 射击场站,射击场
BV11687860,科学院 / 科学院站,科学院
BV11687873,三宝墟 / 三宝墟站,三宝墟
BV09343705,迎龙路 / 迎龙路站,迎龙路
BV11419913,观绿桥站 / 观绿桥,观绿桥站
BV11419914,大吉村站 / 大吉村,大吉村站
BV11419918,旧寨村站 / 旧寨村,旧寨村站
BV10741256,严田村 / 严田村站,严田村站
BV11691188,小坑村 / 小坑村站,小坑村
BV11691184,东捷路 / 东捷路站,东捷路
BV11619531,华扬路 / 华扬路站,华扬路站
BV11489692,华沙村 / 华沙村站,华沙村
BV09005206,小新塘 / 小新塘站,小新塘
BV10847169,班岭村 / 班岭村站,班岭村
BV11412829,揽月路 / 揽月路站,揽月路
BV10017413,天丰路 / 天丰路站,天丰路站
BV09005647,碧山村 / 碧山村站,碧山村
BV10924420,贤江西站 / 贤江西,贤江西站
BV10016836,江东村站 / 江东村,江东村站
BV10847184,坑围村站 / 坑围村,坑围村
BV10847185,萝峰村站 / 萝峰村,萝峰村
BV09070818,孟田村 / 孟田村站,孟田村
BV11674524,长贤路站 / 长贤路,长贤路站
BV11688332,岭头东站 / 岭头东,岭头东站
BV10847167,长龙村 / 长龙村站,长龙村
BV11687955,大沙西 / 大沙西站,大沙西
BV11248514,大沙东 / 大沙东站,大沙东
BV10885199,丰乐路 / 丰乐路站,丰乐路
BV09324631,田心村 / 田心村站,田心村
BV11689574,联和墟 / 联和墟站,联和墟
BV11379032,岗贝村 / 岗贝村站,岗贝村
BV11692324,华甫村 / 华甫村站,华甫村站
BV10653047,萝坎村 / 萝坎村站,萝坎村站
BV10847059,大观路站 / 大观路,大观路
BV11102405,启学路 / 启学路站,启学路
BV09232690,荔红路 / 荔红路站,荔红路
BV11573823,瑞和路 / 瑞和路站,瑞和路
BV10021347,火村东 / 火村东站,火村东
BV09386317,禾堂岭 / 禾堂岭站,禾堂岭站
BV09408442,长庚村站 / 长庚村,长庚村
BV11688549,黄埔港 / 黄埔港站,黄埔港站
BV11688325,省电校 / 省电校站,省电校
BV11573884,黄麻村 / 黄麻村站,黄麻村
BV11688334,柯木塱 / 柯木塱站,柯木塱站
BV11086409,长平村站 / 长平村,长平村
BV11086413,芳一社站 / 芳一社,芳一社
BV10651927,芳二社站 / 芳二社,芳二社
BV09185058,旗冚村站 / 旗冚村,旗冚村
BV10021972,均和村站 / 均和村,均和村
BV11573887,镇龙墟站 / 镇龙墟,镇龙墟
BV11483391,五福堂站 / 五福堂,五福堂站
BV11383670,业田村 / 业田村站,业田村
BV11400774,茶山下 / 茶山下站,茶山下
BV11687914,软件路站 / 软件路,软件路
BV11487907,汇彩路 / 汇彩路站,汇彩路
BV11689292,友谊路 / 友谊路站,友谊路站
BV11689294,创业路 / 创业路站,创业路站
BV10653035,彩频路 / 彩频路站,彩频路站
BV09232321,禾丰村 / 禾丰村站,禾丰村站
BV11483395,新安路 / 新安路站,新安路站
BV11483380,田园路 / 田园路站,田园路
BV10856386,公安村站 / 公安村,公安村站
BV11619432,坑贝村 / 坑贝村站,坑贝村
BV11619428,莲塘村 / 莲塘村站,莲塘村
BV11619429,燕岗桥 / 燕岗桥站,燕岗桥
BV11688086,顺龙厂站 / 顺龙厂,顺龙厂站
BV11690299,南安村站 / 南安村,南安村站
BV11521972,陈家林 / 陈家林站,陈家林站
BV11688089,新聚福站 / 新聚福,新聚福
BV11688050,太阳城站 / 太阳城,太阳城
BV09312331,杨箕村2 / 杨箕村,杨箕村2
BV11466903,乌石村 / 乌石村站,乌石村
BV11488679,长贤路站 / 长贤路,长贤路
BV11630345,九岭路 / 九岭路站,九岭路站
BV09343741,龙洞北 / 龙洞北站,龙洞北站
BV11688355,车陂路 / 车陂路站,车陂路
BV10014993,庙南村站 / 庙南村,庙南村站
BV09372927,义沙村站 / 义沙村,义沙村
BV09255218,中环路站 / 中环路,中环路站
BV11458819,棠乐路 / 棠乐路站,棠乐路
BV09276326,云启路站 / 云启路,云启路站
BV11690759,龙归墟站 / 龙归墟,龙归墟
BV11627311,黄丽街 / 黄丽街站,黄丽街
BV09368634,永盛路站 / 永盛路,永盛路站
BV09368636,永华路站 / 永华路,永华路站
BV09368447,华峰寺站 / 华峰寺,华峰寺站
BV09242698,玉虚宫 / 玉虚宫站,玉虚宫
BV11484167,五丰村 / 五丰村站,五丰村
BV11484178,朗头村 / 朗头村站,朗头村
BV11484169,朱家庄 / 朱家庄站,朱家庄
BV11484163,何布村 / 何布村站,何布村
BV10018877,江城路 / 江城路站,江城路
BV09209212,北向庄站 / 北向庄,北向庄
BV11690337,新楼村站 / 新楼村,新楼村
BV10018548,榄元村 / 榄元村站,榄元村
BV10847069,黄屋村 / 黄屋村站,黄屋村
BV10847070,渔沙坦 / 渔沙坦站,渔沙坦
BV11687879,渔兴路 / 渔兴路站,渔兴路
BV09355568,光宝路 / 光宝路站,光宝路站
BV09404892,珠村路站 / 珠村路,珠村路站
BV11629712,怡新路 / 怡新路站,怡新路站
BV11624669,骏逸苑站 / 骏逸苑,骏逸苑
BV11519167,春晖苑 / 春晖苑站,春晖苑
BV11688382,科甲水站 / 科甲水,科甲水站
BV11690753,太成村 / 太成村站,太成村
BV11342004,凤和庄 / 凤和庄站,凤和庄
BV11689355,人和墟 / 人和墟站,人和墟
BV09006127,竹仔园 / 竹仔园站,竹仔园
BV11688444,石马南 / 石马南站,石马南
BV11345923,双岗村站 / 双岗村,双岗村站
BV09332895,小石马 / 小石马站,小石马站
BV11167618,茶滘路站 / 茶滘路,茶滘路
BV09318581,穗盐路站 / 穗盐路,穗盐路站
BV09248056,同康路站 / 同康路,同康路
BV11268247,岗丰村站 / 岗丰村,岗丰村
BV11689356,东华村站 / 东华村,东华村
BV11689185,华观路 / 华观路站,华观路
BV09142973,长腰岭 / 长腰岭站,长腰岭站
BV10014238,新镇庄 / 新镇庄站,新镇庄站
BV10632189,塘贝村 / 塘贝村站,塘贝村站
BV10632190,水沥村 / 水沥村站,水沥村站
BV11430751,棠安路站 / 棠安路,棠安路站
BV09410388,东华庄 / 东华庄站,东华庄
BV10014233,岑境村 / 岑境村站,岑境村
BV11435992,望岗村 / 望岗村站,望岗村
BV11481125,红星桥 / 红星桥站,红星桥
BV11483607,古楼村站 / 古楼村,古楼村站
BV10015680,白鳝塘站 / 白鳝塘,白鳝塘
BV09000465,国光厂站 / 国光厂,国光厂
BV09244989,东华村 / 东华村站,东华村站
BV11370963,永光村站 / 永光村,永光村
BV11568710,机械城 / 机械城站,机械城
BV10956571,清布墟站 / 清布墟,清布墟
BV11690803,东湖村站 / 东湖村,东湖村
BV11371879,坪东村 / 坪东村站,坪东村
BV11344941,洛场村 / 洛场村站,洛场村
BV11691193,九湖村站 / 九湖村,九湖村站
BV11691192,三凤村 / 三凤村站,三凤村站
BV10015621,松园里 / 松园里站,松园里
BV09404948,四角围 / 四角围站,四角围
BV09177573,风神厂 / 风神厂站,风神厂站
BV11375032,毕村桥 / 毕村桥站,毕村桥
BV11388325,镇东村站 / 镇东村,镇东村站
BV11388328,杨三村站 / 杨三村,杨三村站
BV11388334,杨二村站 / 杨二村,杨二村
BV11690356,莲塘南 / 莲塘南站,莲塘南
BV11690261,润龙里 / 润龙里站,润龙里
BV11364429,田美村 / 田美村站,田美村
BV11134667,中医院 / 中医院站,中医院
BV11306482,皮革城站 / 皮革城,皮革城
BV11497171,保良村 / 保良村站,保良村
BV09376989,峡石村 / 峡石村站,峡石村
BV11488076,郭塘村站 / 郭塘村,郭塘村
BV11330439,草庄村 / 草庄村站,草庄村站
BV11209846,虎塘村 / 虎塘村站,虎塘村
BV11671985,石安路站 / 石安路,石安路站
BV11330821,和乐路站 / 和乐路,和乐路
BV09179267,建业路站 / 建业路,建业路
BV11482320,飞鹅村站 / 飞鹅村,飞鹅村
BV11482313,帽峰山站 / 帽峰山,帽峰山
BV11478463,云山居 / 云山居站,云山居
BV11209843,罗窑路 / 罗窑路站,罗窑路
BV11209842,龙塘村 / 龙塘村站,龙塘村
BV09337317,天蕴路站 / 天蕴路,天蕴路站
BV11629800,海珠路 / 海珠路站,海珠路
BV11400779,白山村站 / 白山村,白山村站
BV11400776,和龙村站 / 和龙村,和龙村站
BV11629137,荷景路站 / 荷景路,荷景路站
BV11647652,棠下村 / 棠下村站,棠下村
BV11649072,棠下村站 / 棠下村,棠下村
BV09397777,广师大 / 广师大站,广师大站
BV11400675,姓钟围 / 姓钟围站,姓钟围
BV11482396,高平墟 / 高平墟站,高平墟
BV10014698,云星村 / 云星村站,云星村
BV11625939,东儒村 / 东儒村站,东儒村
BV11492618,供电局 / 供电局站,供电局
BV09392864,供电局1 / 供电局,供电局1
BV11308172,坑尾村站 / 坑尾村,坑尾村站
BV11491336,比亚迪 / 比亚迪站,比亚迪站
BV11492267,西街口 / 西街口站,西街口
BV11486454,营三街站 / 营三街,营三街
